Entity,Code,date,SO2
承德,承德,20200613,12.125
承德,承德,20200614,8.5
承德,承德,20200615,9.416666666666666
承德,承德,20200616,13.75
承德,承德,20200617,24.166666666666668
承德,承德,20200618,12.291666666666666
承德,承德,20200619,21.583333333333332
承德,承德,20200620,17.583333333333332
承德,承德,20200621,17.375
承德,承德,20200622,11.916666666666666
承德,承德,20200623,10.583333333333334
承德,承德,20200624,8.375
承德,承德,20200625,6.708333333333333
承德,承德,20200626,8.416666666666666
承德,承德,20200627,6.708333333333333
承德,承德,20200628,14.291666666666666
承德,承德,20200629,10.0
承德,承德,20200630,11.75
承德,承德,20200701,6.416666666666667
承德,承德,20200702,6.208333333333333
承德,承德,20200703,7.260869565217392
承德,承德,20200704,9.958333333333334
承德,承德,20200705,12.958333333333334
承德,承德,20200706,8.791666666666666
承德,承德,20200707,6.333333333333333
承德,承德,20200708,11.304347826086957
承德,承德,20200709,12.958333333333334
承德,承德,20200710,9.541666666666666
承德,承德,20200711,9.833333333333334
承德,承德,20200712,7.5
承德,承德,20200713,6.75
承德,承德,20200714,6.375
承德,承德,20200715,12.666666666666666
承德,承德,20200716,11.833333333333334
承德,承德,20200717,7.75
承德,承德,20200718,5.958333333333333
承德,承德,20200719,6.083333333333333
承德,承德,20200720,7.875
承德,承德,20200721,8.0
承德,承德,20200722,7.75
承德,承德,20200723,7.25
承德,承德,20200724,7.541666666666667
承德,承德,20200725,11.083333333333334
承德,承德,20200726,11.125
承德,承德,20200727,6.333333333333333
承德,承德,20200728,5.875
承德,承德,20200729,7.75
承德,承德,20200730,6.333333333333333
承德,承德,20200731,7.916666666666667
承德,承德,20200801,15.958333333333334
承德,承德,20200802,14.25
承德,承德,20200803,15.125
承德,承德,20200804,10.958333333333334
承德,承德,20200805,8.916666666666666
承德,承德,20200806,9.541666666666666
承德,承德,20200807,11.375
承德,承德,20200808,16.25
承德,承德,20200809,15.208333333333334
承德,承德,20200810,18.625
承德,承德,20200811,11.25
承德,承德,20200812,7.541666666666667
承德,承德,20200813,14.791666666666666
承德,承德,20200814,11.083333333333334
承德,承德,20200815,8.25
承德,承德,20200816,7.208333333333333
承德,承德,20200817,9.583333333333334
承德,承德,20200818,8.083333333333334
承德,承德,20200819,6.625
承德,承德,20200820,5.458333333333333
承德,承德,20200821,10.0
承德,承德,20200822,11.416666666666666
承德,承德,20200823,12.541666666666666
承德,承德,20200824,8.666666666666666
承德,承德,20200825,13.041666666666666
承德,承德,20200826,7.125
承德,承德,20200827,8.458333333333334
承德,承德,20200828,16.416666666666668
承德,承德,20200829,7.416666666666667
承德,承德,20200830,7.166666666666667
承德,承德,20200831,7.458333333333333
承德,承德,20200901,20.5
承德,承德,20200902,5.791666666666667
承德,承德,20200903,6.75
承德,承德,20200904,11.041666666666666
承德,承德,20200905,10.166666666666666
承德,承德,20200906,7.875
承德,承德,20200907,5.458333333333333
承德,承德,20200908,5.541666666666667
承德,承德,20200909,5.5
承德,承德,20200910,5.166666666666667
承德,承德,20200911,5.25
承德,承德,20200912,5.291666666666667
承德,承德,20200913,5.75
承德,承德,20200914,6.666666666666667
承德,承德,20200915,8.166666666666666
承德,承德,20200916,11.0
承德,承德,20200917,10.083333333333334
承德,承德,20200918,11.083333333333334
承德,承德,20200919,11.375
承德,承德,20200920,14.333333333333334
承德,承德,20200921,12.875
承德,承德,20200922,6.125
承德,承德,20200923,10.583333333333334
承德,承德,20200924,6.75
承德,承德,20200925,11.0
承德,承德,20200926,8.833333333333334
承德,承德,20200927,7.8
承德,承德,20200928,7.166666666666667
承德,承德,20200929,5.333333333333333
承德,承德,20200930,10.458333333333334
承德,承德,20201001,9.458333333333334
承德,承德,20201002,7.083333333333333
承德,承德,20201003,9.208333333333334
承德,承德,20201004,6.391304347826087
承德,承德,20201005,6.869565217391305
承德,承德,20201006,17.166666666666668
承德,承德,20201007,9.708333333333334
承德,承德,20201008,9.166666666666666
承德,承德,20201009,11.5
承德,承德,20201010,11.5
承德,承德,20201011,6.521739130434782
承德,承德,20201012,12.125
承德,承德,20201013,9.708333333333334
承德,承德,20201014,10.304347826086957
承德,承德,20201015,10.916666666666666
承德,承德,20201016,7.333333333333333
承德,承德,20201017,14.0
承德,承德,20201018,10.043478260869565
承德,承德,20201019,16.5
承德,承德,20201020,11.583333333333334
承德,承德,20201021,6.7272727272727275
承德,承德,20201022,6.041666666666667
承德,承德,20201023,7.318181818181818
承德,承德,20201024,15.208333333333334
承德,承德,20201025,15.956521739130435
承德,承德,20201026,33.916666666666664
承德,承德,20201027,8.583333333333334
承德,承德,20201028,11.541666666666666
承德,承德,20201029,18.833333333333332
承德,承德,20201030,14.541666666666666
承德,承德,20201031,14.375
承德,承德,20201101,7.391304347826087
承德,承德,20201102,6.333333333333333
承德,承德,20201103,6.875
承德,承德,20201104,13.375
承德,承德,20201105,18.291666666666668
承德,承德,20201106,12.333333333333334
承德,承德,20201107,10.125
承德,承德,20201108,8.791666666666666
承德,承德,20201109,11.791666666666666
承德,承德,20201110,20.458333333333332
承德,承德,20201111,13.590909090909092
承德,承德,20201112,12.458333333333334
