Entity,Code,date,O3
承德,承德,20200101,12.291666666666666
承德,承德,20200102,10.666666666666666
承德,承德,20200103,13.0
承德,承德,20200104,16.458333333333332
承德,承德,20200105,9.416666666666666
承德,承德,20200106,13.416666666666666
承德,承德,20200107,33.25
承德,承德,20200108,44.041666666666664
承德,承德,20200109,23.833333333333332
承德,承德,20200110,35.375
承德,承德,20200111,35.708333333333336
承德,承德,20200112,34.833333333333336
承德,承德,20200113,45.375
承德,承德,20200114,29.375
承德,承德,20200115,17.166666666666668
承德,承德,20200116,26.0
承德,承德,20200117,18.708333333333332
承德,承德,20200118,20.541666666666668
承德,承德,20200119,41.791666666666664
承德,承德,20200120,39.208333333333336
承德,承德,20200121,19.541666666666668
承德,承德,20200122,23.526315789473685
承德,承德,20200123,28.25
承德,承德,20200124,32.75
承德,承德,20200125,28.625
承德,承德,20200126,28.083333333333332
承德,承德,20200127,29.666666666666668
承德,承德,20200128,32.916666666666664
承德,承德,20200129,43.541666666666664
承德,承德,20200130,40.083333333333336
承德,承德,20200131,45.458333333333336
承德,承德,20200201,59.416666666666664
承德,承德,20200202,52.958333333333336
承德,承德,20200203,51.875
承德,承德,20200204,51.208333333333336
承德,承德,20200205,51.083333333333336
承德,承德,20200206,32.875
承德,承德,20200207,34.958333333333336
承德,承德,20200208,42.0
承德,承德,20200209,36.0
承德,承德,20200210,32.5
承德,承德,20200211,44.916666666666664
承德,承德,20200212,52.5
承德,承德,20200213,49.875
承德,承德,20200214,72.75
承德,承德,20200215,74.66666666666667
承德,承德,20200216,78.29166666666667
承德,承德,20200217,74.70833333333333
承德,承德,20200218,40.75
承德,承德,20200219,36.833333333333336
承德,承德,20200220,36.458333333333336
承德,承德,20200221,48.041666666666664
承德,承德,20200222,74.16666666666667
承德,承德,20200223,41.208333333333336
承德,承德,20200224,39.541666666666664
承德,承德,20200225,60.708333333333336
承德,承德,20200226,49.916666666666664
承德,承德,20200227,47.375
承德,承德,20200228,47.666666666666664
承德,承德,20200229,11.291666666666666
承德,承德,20200301,46.0
承德,承德,20200302,48.333333333333336
承德,承德,20200303,68.79166666666667
承德,承德,20200304,73.25
承德,承德,20200305,47.666666666666664
承德,承德,20200306,49.875
承德,承德,20200307,55.041666666666664
承德,承德,20200308,44.166666666666664
承德,承德,20200309,54.541666666666664
承德,承德,20200310,59.208333333333336
承德,承德,20200311,42.458333333333336
承德,承德,20200312,55.375
承德,承德,20200313,57.583333333333336
承德,承德,20200314,54.208333333333336
承德,承德,20200315,60.0
承德,承德,20200316,53.458333333333336
承德,承德,20200317,49.083333333333336
承德,承德,20200318,42.81818181818182
承德,承德,20200319,67.70833333333333
承德,承德,20200320,56.291666666666664
承德,承德,20200321,60.208333333333336
承德,承德,20200322,50.791666666666664
承德,承德,20200323,51.083333333333336
承德,承德,20200324,78.41666666666667
承德,承德,20200325,103.29166666666667
承德,承德,20200326,81.79166666666667
承德,承德,20200327,72.125
承德,承德,20200328,46.916666666666664
承德,承德,20200329,49.791666666666664
承德,承德,20200330,74.54166666666667
承德,承德,20200331,67.08333333333333
承德,承德,20200401,61.583333333333336
承德,承德,20200402,49.291666666666664
承德,承德,20200403,62.041666666666664
承德,承德,20200404,77.0
承德,承德,20200405,68.08333333333333
承德,承德,20200406,71.75
承德,承德,20200407,73.41666666666667
承德,承德,20200408,70.79166666666667
承德,承德,20200409,74.17391304347827
承德,承德,20200410,69.79166666666667
承德,承德,20200411,59.833333333333336
承德,承德,20200412,62.458333333333336
承德,承德,20200413,58.583333333333336
承德,承德,20200414,86.41666666666667
承德,承德,20200415,105.375
承德,承德,20200416,113.29166666666667
承德,承德,20200417,109.875
承德,承德,20200418,70.04166666666667
承德,承德,20200419,93.04166666666667
承德,承德,20200420,83.25
承德,承德,20200421,83.70833333333333
承德,承德,20200422,86.25
承德,承德,20200423,77.75
承德,承德,20200424,66.58333333333333
承德,承德,20200425,93.43478260869566
承德,承德,20200426,61.75
承德,承德,20200427,56.916666666666664
承德,承德,20200428,82.04166666666667
承德,承德,20200429,140.33333333333334
承德,承德,20200430,167.79166666666666
承德,承德,20200501,177.83333333333334
承德,承德,20200502,147.58333333333334
承德,承德,20200503,99.29166666666667
承德,承德,20200504,64.875
承德,承德,20200505,78.83333333333333
承德,承德,20200506,135.95833333333334
承德,承德,20200507,117.83333333333333
承德,承德,20200508,70.95833333333333
承德,承德,20200509,64.79166666666667
承德,承德,20200510,56.833333333333336
承德,承德,20200511,68.54166666666667
承德,承德,20200512,77.5
承德,承德,20200513,81.52173913043478
承德,承德,20200514,128.0
承德,承德,20200515,103.54166666666667
承德,承德,20200516,81.58333333333333
承德,承德,20200517,54.333333333333336
承德,承德,20200518,66.79166666666667
承德,承德,20200519,86.91666666666667
承德,承德,20200520,80.875
承德,承德,20200521,92.79166666666667
承德,承德,20200522,59.291666666666664
承德,承德,20200523,59.458333333333336
承德,承德,20200524,57.541666666666664
承德,承德,20200525,57.5
承德,承德,20200526,58.791666666666664
承德,承德,20200527,64.66666666666667
承德,承德,20200528,91.25
承德,承德,20200529,153.70833333333334
承德,承德,20200530,151.91666666666666
承德,承德,20200531,80.79166666666667
承德,承德,20200601,93.58333333333333
承德,承德,20200602,112.95833333333333
承德,承德,20200603,79.875
承德,承德,20200604,64.33333333333333
承德,承德,20200605,99.41666666666667
承德,承德,20200606,117.45833333333333
承德,承德,20200607,166.16666666666666
承德,承德,20200608,155.79166666666666
承德,承德,20200609,123.8695652173913
承德,承德,20200610,97.41666666666667
承德,承德,20200611,65.29166666666667
